url, country,official_language,english_speaking, language, description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/croatia/,Croatia,0,0," ""Croatian (official) 95.2%", Serbian 1.2%, other 3.1% (including Bosnian, Romani, Albanian," and Italian) unspecified 0.5% (2021 est.)"""," "" <br>Knjiga svjetskih činjenica", nužan izvor osnovnih informacija. (Croatian)<br><br>The World Factbook," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/cuba/,Cuba,0,0," ""Spanish (official)"""," "" <br>La Libreta Informativa del Mundo", la fuente indispensable de información básica. (Spanish)<br><br>The World Factbook," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/curacao/,Curacao,0,0," ""Papiamento (official) (a creole language that is a mixture of Portuguese", Spanish, Dutch, English, and, to a lesser extent, French, as well as elements of African languages and the language of the Arawak) 80%, Dutch (official) 8.8%, Spanish 5.6%, English (official) 3.1%, other 2.3%," unspecified 0.3% (2011 est.)"""," "" data represent most spoken language in household""",,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/cyprus/,Cyprus,0,0," ""Greek (official) 80.9%", Turkish (official) 0.2%, English 4.1%, Romanian 2.9%, Russian 2.5%, Bulgarian 2.2%, Arabic 1.2%, Filipino 1.1%, other 4.3%," unspecified 0.6%&nbsp; (2011 est.)"""," "" <br>Το Παγκόσμιο Βιβλίο Δεδομένων", η απαραίτητη πηγή βασικών πληροφοριών. (Greek)<br><br>The World Factbook," the indispensable source for basic information.""", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/czechia/,Czechia,0,0," ""Czech (official) 88.4%", Slovak 1.5%, other 2.6%," unspecified 7.2% (2021 est.)"""," "" <br>World Factbook", nepostradatelný zdroj základních informací. (Czech)<br><br>The World Factbook," the indispensable source for basic information."""," "" includes only persons with one mother tongue""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/denmark/,Denmark,0,1," ""Danish", Faroese, Greenlandic (an Inuit dialect)," German (small minority); note - English is the predominant second language"""," "" <br>Verdens Faktabog", den uundværlig kilde til grundlæggende oplysninger. (Danish)<br><br>The World Factbook," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/djibouti/,Djibouti,0,0," ""French (official)", Arabic (official), Somali," Afar""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/dominica/,Dominica,1,1," ""English (official)"," French patois""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/dominican-republic/,Dominican Republic,0,0," ""Spanish (official)"""," "" <br>La Libreta Informativa del Mundo", la fuente indispensable de información básica. (Spanish)<br><br>The World Factbook," the indispensable source for basic information.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/the-world-factbook/countries/ecuador/,Ecuador,0,0," ""Spanish (Castilian; official) 98.6%", indigenous 3.9% (Quechua 3.2%, other indigenous 0.7%), foreign 2.8%," other 0.6% (includes Ecuadorian sign language) (2022 est.)"""," "" <br>La Libreta Informativa del Mundo", la fuente indispensable de información básica. (Spanish)<br><br>The World Factbook," the indispensable source for basic information.<br><br><strong>note 1:</strong> shares sum to more than 100% because some respondents gave more than one answer on the census<br><br><strong>note 2:</strong> Quechua and Shuar are official languages of intercultural relations; other indigenous languages are in official use by indigenous peoples in the areas they inhabit""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
